,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
431,TargEDys,1,693333.3333333334,0,0,2.0,1,-0.014206181899988303,-0.4017270817301976,0.6997327000601914,0.12569628714160666
432,Databerries,0,0.0,0,0,2.0,1,-0.07203461703416036,0.5797088322722747,0.10574280529465184,-0.1820875866585073
433,Hoppen,0,769230.7692307692,1,1,3.0,1,-0.1162357903184975,-0.2087954907993802,0.05914302484349262,0.06467554243277407
434,TellMePlus,0,356060.5833333333,0,0,2.0,1,0.2997329427878538,1.7297829137513345,0.30708459272161714,0.1099451069803606
435,Testwe,0,56521.739130434784,0,0,2.0,1,-0.18111293090884528,-0.09657736513131515,-0.1644401639341037,-0.09713346734388138
436,Therachon,0,38994.8,0,0,2.0,1,0.06856949079165656,-0.36262085319168424,1.373466184465774,0.3745490276882739
437,Theranexus,0,211764.70588235295,0,0,2.0,1,-0.06421315730775037,-0.395534858017764,0.7684926092355872,0.12335144843801263
438,THERAPANACEA,0,124000.0,0,0,2.0,1,0.6625492211379707,-0.36101967815391195,0.3100822804231599,-0.1582814298200789
439,Therapixel,1,215384.61538461538,1,1,2.0,1,0.22481031847946042,-0.17783202166556678,0.4693503181385917,1.3024370077555794
440,ThrustMe,0,327000.0,0,0,2.0,1,-0.0666740614980366,-0.06636456773083205,-0.44699278702414674,0.8134081080522906
441,Tiamat Energy,0,365000.0,0,0,1.0,1,1.662801596551571,-0.30501351232762053,-0.45765469472546244,-0.550240069336798
442,Tissium,0,1356896.551724138,1,1,3.0,1,1.7714506740713079,0.6474109492897131,1.364205936521161,0.08940505476790572
443,Tissue Aegis,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
444,Tollys,0,38994.8,0,0,2.0,1,-0.12137680969236604,-0.215365580718315,0.26180882464230976,-0.02501364485692916
445,Tongue Lab,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
446,Traaser,0,0.0,0,0,1.0,1,-0.11133218879144384,-0.24972123552780257,0.46672749103510414,0.005375301849312417
447,Tradelab,0,0.0,0,0,3.0,1,-0.17516413684635845,-0.08973773148929766,-0.12902088824587196,-0.13452748316587354
448,TransChain,0,71428.57142857143,0,0,2.0,1,-0.1712694987376531,-0.11797484574328672,-0.1307222981035737,-0.13716980601191728
449,TransCure bioServices SAS,0,65023.72093023256,0,0,2.0,1,0.7895865166138647,-0.7364868196185088,1.201922396696711,0.19382253689605342
450,Traxens,0,176229.50819672132,0,0,3.0,1,0.14922125101435949,0.7187113415093194,-0.25671936957679514,1.0564310168837157
451,TreeFrog Therapeutics,1,522954.5,1,1,2.0,1,0.09615242318401457,0.2036798498915168,0.9408709403567951,0.006490246372495017
452,Tricares.com,0,334326.92307692306,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
453,Tridimeo,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
454,Trustinsoft,0,358352.9411764706,1,1,2.0,1,-0.13608337167083656,-0.05442768869677534,-0.13887981609053487,-0.12348133813038224
455,Tryon,0,38994.8,0,0,4.0,1,-0.1712181869821441,-0.11269971348711233,-0.12809052990380254,-0.13569587077844694
456,Uavia,0,119047.61904761905,0,0,2.0,1,0.0628777528266312,1.0626498163558566,0.27890607024262143,-0.2534589853498627
457,Ubleam,0,76470.58823529411,0,0,2.0,1,-0.03271243969140777,0.16112835626607644,-0.4097439139729851,0.8237558134788904
458,Ultimetas,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
459,Ultimetas,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
460,Unistellar,0,38994.8,0,0,2.0,1,-0.1693525489415055,-0.11604277496574897,-0.13155950804589034,-0.1259278837104182
461,Unseenlabs,0,750000.0,0,0,1.0,1,-0.1790248083920301,-0.12173579747349719,-0.1896183183985662,-0.06997717017827039
462,UpStride,0,0.0,0,0,2.0,1,-0.12887806967764184,-0.0903743348986874,-0.1599117804162763,-0.09285811878859938
463,Uromems,1,937500.0,0,0,2.0,1,-0.03308542130507928,-0.5011416647823639,0.7422876023948889,0.19690791046077938
464,Valbiotis,0,129032.25806451614,0,0,2.0,1,0.001935521756858559,-0.4843223236141753,0.9261899908156879,0.2677838803639507
465,Valoneo,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
